Action,Email Subject,ID,Last edited time,Owner,Priority,Project,Status,Update,Update History
PR and PO for AMS,,105,"June 19, 2026 1:41 PM","Syed, Abdulrahman Aldwallah",Medium,SA Lebara,In progress,17/6 see reminder to Syed,
Site survey for rack moving at Malqa2,,106,"July 31, 2026 5:44 PM","Aman, Vinod",Medium,SA Lebara,In progress,"[2026-07-21 07:56 SAST] Follow-up request: Syed to confirm whether rack relocation will proceed (current → new location), including availability of required fiber and power cabling; plan previously not confirmed per Vinod discussion.","[2026-07-21 07:56 SAST] Logged email follow-up asking Syed to confirm rack relocation decision and confirm fiber/power cabling availability.
17/6 see email sent

2026-07-04: PMO cleanup moved older Update notes into Update History and kept only the latest comment in Update.

Moved from Update during 2026-07-31 full audit:
22 Jun
see update request sent to Syed
See response from Aman: Rack location to be confirmed. Need fiber and power cables

2026-07-31 17:44 SAST — Full PMO audit: retained only the most recent comment in Update."
2027 contract renewal strategy and gap analysis,Fw: SA Lebara: Gap Analysis request,107,"July 5, 2026 7:03 PM",Badee,High,SA Lebara,In progress,"2026-07-05 19:03 SAST — Per Badee: Lebara prefers to run a comprehensive workshop during the upcoming RFP process, so no additional business-side effort is needed now; Suleman will be on leave for one month starting next week.",2026-07-05 19:03 SAST — Updated based on email “Fw: SA Lebara: Gap Analysis request”: align to run comprehensive workshop during RFP; no further business-side effort now; note Suleman on 1-month leave.
CBS Testbed: PO,,108,"June 19, 2026 1:41 PM",Syed,Medium,SA Lebara,In progress,"6/8/2026
Syed accepted proposal, to prepare PR (RP)",
"Lebara  HDD replacement and 5th HDFS Node 
1. Lebara to pay: by 9/7 as per Syed.
2. LATRO procure replacement HDDs.
3. Francois and Aman provide the implementation timeline to Mr. Suleman and Mr. Syed.
4. Aman plan HDD replacement and 5th HDFS Node installation.",Fw: SA Lebara: HDD replacement and 5th HDFS Node,110,"August 19, 2026 8:16 AM","Francois, Syed",Medium,SA Lebara,In progress,"17/8
See email to Syed and Technology
Aman to travel on 13 September","[2026-07-30 07:37 SAST] Captured shipping/customs next steps: Aman received tracking package details; proceed with DDP shipment (FedEx), get quote + shipment dimensions/weight; inform Suleman LATRO will handle customs/duties/taxes and request Lebara business license/registration certificate.
[2026-07-27 19:42 SAST] Captured updated HDD procurement guidance: local quote increased; recommended purchasing drives from U.S. + shipping DDP; Gamma confirmed no charge for 5th node integration.
[2026-07-21 18:40 SAST] Email update captured: rack will not be moved for now; planning disk swap; timeline to be shared once confirmed.
[2026-07-21 07:57 SAST] Captured updated SA Lebara storage risk mitigation schedule and added request to confirm rack relocation + fiber/power cabling availability.

Moved from Update during 2026-07-31 cleanup:
[2026-07-27 19:42 SAST] Latest update: Aman received an updated local Saudi vendor quote with increased pricing. Recommendation is to purchase the required drives from the U.S. and ship to Saudi Arabia on DDP terms (Aman also shared a U.S. vendor with 35 drives in stock). Note: Gamma confirmed they will not charge for the 5th node integration.

[2026-07-21 18:40 SAST] Latest update: Syed confirmed they will not move the rack for now (plan migration assuming no movement). Aman is planning the disk swap and will share a confirmed timeline once available.

[2026-07-21 07:57 SAST] Updated implementation plan shared: HDD procurement & delivery 21-Jul-26 to 18-Aug-26; upgrade 21-Aug-26 to 8-Sep-26; rack relocation planned 19–20 Aug; HDD swap 21–28 Aug; 5th node config 21–24 Aug; deployment 25 Aug–8 Sep. Latest request: please confirm whether rack will be moved to new location and that required fiber and power cabling will be available.

2026-07-31 17:40 SAST — PMO cleanup: retained only the latest operational update in Update.

Moved from Update on 2026-08-19:
[2026-07-30 07:37 SAST] Latest update: Aman confirmed receipt of package details from the tracking Allison provided. Next steps: proceed with DDP shipping to KSA (FedEx preferred) and obtain shipping quote; vendor to provide approximate weight/dimensions; inform Suleman that LATRO will handle customs clearance/duties/taxes, and request a copy of Lebara business license/registration certificate for import clearance.

2026-08-19 — PMO cleanup: retained latest Update only and moved older Update comment to Update History."
Account management call,,115,"June 22, 2026 9:45 AM",Ashraf,High,SA RBM,In progress,"22 Jun
See email from Ghofrane",
"Phase 2 data samples and specs
",,116,"June 22, 2026 9:44 AM",Mostafa,Medium,SA RBM,In progress,"26 Mch
See email to Mostafa",
Issue PO,,117,"June 22, 2026 9:44 AM",Ashraf,Medium,SA RBM,In progress,"26 Mch
Reminder sent to Ashraf",
FM process,,118,"June 22, 2026 9:46 AM",Marwan,Medium,SA RBM,In progress,"11/5 meeting held with Bader, actions below
• Bader will share TCC voice bypass rule (DONE) and Marwan will configure the script(s).
• Francois to set a follow up call when the TCC voice bypass rule(s) is active.
• Marwan to share daily fraud alerts with Bader and Waed.",
Get Dell confirmation re MX760c export/purchase route (US → Afghanistan),AF RTDMS Dell compliance and shipping to Afghanistan,121,"August 3, 2026 5:13 PM",Aman Ehsan (Dell contact),Medium,AF RTDMS,In progress,"3/8
See email to Naveed","2026-07-12 07:21 SAST — Appended update: Dell added Naveed Siraj; escalation for formal written compliance position (support/deny/info-needed) on MX840c/MX760c US→Afghanistan shipment for ATRA.

2026-06-22 18:01 SAST — Created action from email: request Dell confirmation on MX760c US purchase/shipping to Afghanistan for ATRA acceptance.

10/7
follow up sent to Dell Export compliance

7/7
see response to Dell

2026-06-22 18:01 SAST — ATRA is requesting written confirmation from Dell that the MX760c blade server cannot be purchased in the US and shipped to Afghanistan by LATRO. Need Dell (not distributor) verdict via email; Aman to request/obtain confirmation.

2026-07-15 — PMO cleanup: moved older dated updates from Update to Update History and retained only the latest dated update in Update.

Moved from Update on 2026-08-03:
2026-07-12 07:21 SAST — Dell Export Compliance added Naveed Siraj for visibility/advice. Francois escalated requesting a formal written response confirming whether Dell can support procurement/export of MX840c/MX760c from the US to Afghanistan for ATRA (or specific reason/info needed).

2026-08-03 17:09 SAST — PMO cleanup: retained only the latest update in Update and moved all older entries to Update History."
Urgent TOR 5: AF RTDMS Integration and Connectivity Process V1.0 document to be updated as per request from Abdulbasit,,125,"August 10, 2026 4:58 PM",Marjan,Medium,AF RTDMS,In progress,"10 July
See updated document shared with team","23 Jun
see email to Marjan

2026-07-15 — PMO cleanup: moved the older dated update from Update to Update History and retained only the latest dated update in Update."
S2S VPN ask for Cyber call,,127,"July 4, 2026 8:01 AM",Francois,High,IQ Asiacell,In progress,"1/7 
teams discussion with Samir, Will set call with Cyber","24 Jun
Samir will check with Cyber and arrange a meeting, see teams chat with him
23 Jun
Francois to ask Samir and Rozh

2026-07-04: PMO cleanup moved older Update notes into Update History and kept only the latest comment in Update."
"CR IFRS: change in the revenue recognition methodology for bundles with validity of more than one month. 
Gamma quote, quote LATRO",Re: Urgent: SA Lebara IFRS financial report variation,128,"August 19, 2026 8:15 AM",Muhaiad,High,SA Lebara,In progress,"[2026-08-17 16:11 SAST] Call with Suleman: continue IFRS reporting (do not message that reporting pauses pending CR); propose limited, auditable interim calculation for 60/90-day Flex bundles (exclude triggers/zero-rate, extract MON subs CDRs, day-based revenue calc with audit trail, add back to IFRS report) while Daniel updates IFRS calc + validates DIM tables and alignment calls are scheduled.","[2026-08-17 16:11 SAST] Email update: captured Suleman call feedback — keep IFRS reporting running; pursue small nominal CR/interim auditable day-based calc for long-validity Flex bundles; Daniel to update IFRS calc and validate DIM tables; schedule alignment calls.

[2026-07-31 17:13 SAST] Email update: confirmed the IFRS logic changes must be managed via CR; in parallel, feasibility of manual reporting workaround is being assessed.
[2026-07-27 19:34 SAST] Email update: Daniel’s analysis confirmed multiple IFRS logic updates needed; CR process to be followed; proposal being finalized to share with Lebara.
[2026-07-24 07:04 SAST] Email update: requested breakdown of man-days/profiles per task + discount request.
[2026-07-22 18:37 SAST] Updated action: logged that we are awaiting Satish’s feedback on task breakdown and discount; updated Email Subject.
[2026-07-19 06:12 SAST] Updated action: recorded receipt of Gamma proposal and request to prepare proposal for Lebara; updated Email Subject.
[2026-07-16 07:13 SAST] Updated action: requested Gamma provide a summary of work required for IFRS change to motivate the CR; updated Email Subject.
[2026-07-15 19:07 SAST] Logged request for Gamma feedback on IFRS changes impact + CR requirement (post Sana/Suleman sessions).

Moved from Update during 2026-07-31 cleanup:
29/7
No Budget, discuss scripts and MS support with Daniel, Call set
[2026-07-27 19:34 SAST] Daniel’s analysis indicates multiple updates needed to existing IFRS logic; CR process required. Proposal is being finalized to share with Lebara.

[2026-07-24 07:04 SAST] Ghofrane requested Gamma provide a breakdown of man-days and profiles per task, and asked for a discount so this can be progressed.

[2026-07-22 18:37 SAST] Waiting for Satish’s feedback tomorrow on the implementation task breakdown and discount (per IFRS CR discussion).

[2026-07-19 06:12 SAST] Francois shared Gamma proposal for recent IFRS changes and requested preparing a proposal for Lebara.

17/7
See email to Suleman.
Gamma to quote

[2026-07-16 07:13 SAST] Francois requested a summary of work required to implement the IFRS change as motivation for the CR (to support CR submission).

[2026-07-15 19:07 SAST] Requested Gamma (Daniel) feedback on IFRS changes impact and whether a CR is required (post sessions with Sana/Suleman).

2026-07-31 17:39 SAST — PMO cleanup: retained only the latest operational update in Update.

Moved from Update on 2026-08-19:
[2026-07-31 17:13 SAST] Confirmed IFRS logic changes should be handled via a CR due to scope/impact; team also assessing a short-term manual reporting alternative (with validation/accuracy risks) and will revert once feasibility assessment is complete.

2026-08-19 — PMO cleanup: retained latest Update only and moved older Update comment to Update History."
Control Implementation,BW Mascom control progress,136,"August 11, 2026 5:19 PM",Aritra,High,BW Mascom,In progress,"5/8
Aritra and Hadi is discussing a solution. Once we complete a solution will share for review.","2026-07-23 09:13 SAST — Appended email “BW Mascom control progress”: country code list dedupe/consolidation question; SMS Source ETL modification; review requested for R118.C04.A03 script + sample output.

Moved from Update during 2026-07-31 cleanup:
[2026-07-14 16:29 SAST] Ali shared an updated version of the shared/trending controls and requested the output report be shared for client confirmation (expect iterations) before proceeding with dashboard implementation.

2026-07-22 09:02 SAST — Owner changed from Ali Abdelrhim to Aritra.

2026-07-31 17:39 SAST — PMO cleanup: retained only the latest operational update in Update.

Moved from Update on 2026-08-11:
[2026-07-23 09:13 SAST] Controls progress update: need confirmation whether Country_Code_list should keep multiple records per country code (by operator/area code) vs consolidate at country level; ETL for SMS Source control (R118.C04.A02) is being modified; script + sample output for (R118.C04.A03) provided for review.

2026-08-11 17:20 SAST — PMO cleanup: retained only the latest comment in Update and moved the older comment to Update History."
URGENT HDD replacement and 5th HDFS node Gamma costing,Fw: SA Lebara: HDD replacement and 5th HDFS Node,145,"August 19, 2026 8:15 AM",Shiju Thomas,High,SA Lebara,In progress,"2026-08-18 07:48 SAST — Aman plans to replace the failed disk and install the 5th node during the second week of September. In the meantime, Aman is coordinating approvals for server installation, temporary Internet access for the 5th node, and the disk replacement.","2026-08-18 07:48 SAST — Updated per email: plan to replace failed disk + install 5th node in 2nd week of Sep; approvals in progress for server install, temporary internet, and disk replacement.
2026-08-16 13:17 SAST — Updated per email: HDDs expected to be delivered to Lebara today; Francois requested Aman to share next steps.
2026-08-11 08:54 SAST — Updated per email: Lebara requested device name/code and manufacturing certificates; set Owner=Shiju Thomas; updated Email Subject.
2026-08-11 08:08 SAST — Updated with shipment dispatch details (pickup scheduled, tracking 8755 4655 9300, ETA 16 Aug 2026).
2026-08-09 12:08 SAST — Updated action with receiving contact details for HDD shipment (Abdulrahman Alhumud, phone/email provided).
2026-08-08 06:49 SAST — Prepended update: escalated to Abdulrahman for urgent assistance to dispatch HDD shipment.
2026-08-06 14:00 SAST — Appended update: Lebara requested Abdulrahman’s support to provide receiving contact for the HDD shipment.
2026-08-04 12:22 SAST — Updated action with request for receiving contact details for HDD shipment support (FedEx documentation + license upload).

Moved from Update on 2026-08-11:
2026-08-11 08:08 SAST — LATRO logistics scheduled pickup of the HDDs; shipping documents shared. FedEx tracking: 8755 4655 9300; estimated delivery 16 Aug 2026.
2026-08-09 12:08 SAST — Lebara shared receiving contact details for the HDD shipment (Abdulrahman Alhumud, Logistics Manager). Phone: +966 578 288 808 / +966 576 981 408. Email: mailto:Abdulrahman.Alhumud@lebara.sa.
2026-08-09 06:49 SAST — Francois escalated to Abdulrahman Alhumud for urgent assistance to dispatch the HDD shipment to reduce operational risk.
2026-08-06 14:00 SAST — Lebara replied asking Abdulrahman Alhumud to support by providing the receiving contact for the HDD shipment (for FedEx documentation).
2026-08-04 12:22 SAST — Request to Lebara (Hussain) to provide a Lebara contact person to receive HDD consignment being shipped via FedEx; Lebara will need to upload their business license in the FedEx portal for customs clearance.

2026-08-11 17:19 SAST — PMO cleanup: retained only the latest comment in Update and moved older comments to Update History.
2026-08-11 17:19 SAST — PMO cleanup: retained only the latest comment in Update and moved older comments to Update History.

Moved from Update on 2026-08-19:
2026-08-16 13:17 SAST — Francois received notification the HDDs will be delivered at Lebara today and requested Aman to share the next steps.

2026-08-11 08:54 SAST — Lebara requested device name, device code, and manufacturing certificates for the shipment; Shiju to provide the requested information.

2026-08-19 — PMO cleanup: retained latest Update only and moved older Update comments to Update History."
Six Degrees PSA renewal / extension (SA Lebara),SA Lebara Six Degrees PSA,147,"July 2, 2026 10:01 AM",Francois,Medium,SA Lebara,In progress,2026-07-02 10:00 SAST — Confirm whether Six Degrees scope/pricing/SLAs remain the same and provide/locate any 2023–2026 6D/Lebara agreements so Legal can draft an updated PSA/period of performance (04 Aug 2026–03 Aug 2027).,2026-07-02 10:00 SAST — Created action from email “SA Lebara Six Degrees PSA”: need confirmation of same terms + find any 2023–2026 agreement; support Legal drafting updated PSA/PoP.
MS4 Risk: TOR 25 30% Storage: 14 x 15 TB Waterpanter and 18 x Stackwise kits: Waterpanther alterntive to be found. 83 TB of SSD storage for both the DR and PR nodes.,AF RTDMS PR site SSDs,149,"August 11, 2026 5:19 PM",Allie,Medium,AF RTDMS,In progress,"11/8
Allie to buy 2 of the reduced cost drives for testing, then the rest","2026-08-07 07:28 SAST — Added request for 28x 7.68TB Unity 400 SSDs; recommended 2-drive compatibility test in Kabul before bulk purchase.

Moved from Update on 2026-08-11:
2026-08-07 07:28 SAST — Request to procure 28x Dell EMC Unity 400 compatible 7.68TB 2.5"" 12Gb SAS SSDs (EMC firmware/carrier) to replace low-performing HDDs; buy 2 units first for Kabul compatibility testing, then purchase remaining 26.

2026-08-11 17:19 SAST — PMO cleanup: retained only the latest comment in Update and moved the older comment to Update History."
RTDMS Monitoring and Alerting,Re: AF RTDMS HDFS Storage headroom,154,"August 18, 2026 10:17 AM",Aman,High,AF RTDMS,In progress,"5/7
See email to Aman and Abhijit",
ATRA Ligowave Letter Respond,,156,"July 6, 2026 5:29 PM",Francois,Medium,AF RTDMS,In progress,"6/7
Letter received. To prepare reply",
Review & complete IQ Asiacell security questions (Vendor Comments),IQ Asiacell SBD,159,"July 31, 2026 5:38 PM",Ameer Abdulsamad,High,IQ Asiacell,In progress,2026-07-26 12:40 SAST — Asiacell confirmed PAM/WAF (and other remaining requirements) details will be provided once servers are ready and accessible; timeline to be updated accordingly.,"2026-07-26 12:40 SAST — Updated with Asiacell note: PAM/WAF details pending server readiness; plan/timeline to be updated; updated Email Subject.

2026-07-22 19:19 SAST — Added new Asiacell reminder requesting urgent feedback/pending points on the Security Compliance Sheet; updated Email Subject.

2026-07-22 10:02 SAST — Updated status: Security Compliance Sheet uploaded to SBD portal; updated Email Subject.
2026-07-20 13:45 SAST — Updated action with new urgent Asiacell request for feedback / pending points on Security Compliance Sheet; updated Email Subject.
2026-07-14 16:54 SAST — Noted expected security compliance feedback by end of week (Ameer).

Moved from Update:
2026-07-22 19:19 SAST — Asiacell sent a reminder requesting urgent feedback / confirmation of any pending points on the Security Compliance Sheet (Technical Owner + Compliance fields still to be completed).

2026-07-22 10:02 SAST — Asiacell confirmed the Security Compliance Sheet has been uploaded to the SBD portal; no further action requested at this time.

2026-07-20 13:45 SAST — Asiacell requested urgent feedback / confirmation of any pending points on the Security Compliance Sheet; LATRO to review and respond.

16/7
form shared by Ameer
2026-07-14 16:54 SAST — Ameer to provide feedback on security compliance by end of week.

2026-07-31 17:37 SAST — PMO cleanup: retained only the latest operational update in Update."
VB Admin access for Mustafa and Muhaid,SA Lebara request for VB Superuser access,160,"July 31, 2026 5:38 PM",Raja M Akmal,,SA Lebara,In progress,2026-07-16 09:12 SAST — Lebara NOC acknowledged the VB access request and advised they are following up internally; awaiting their update (standby).,"2026-07-16 09:12 SAST — Email update: Lebara NOC said they are following up internally; asked to standby.
2026-07-13 17:14 SAST — Updated next step: Raja to log Lebara ITSM ticket for Mustafa VB admin access; Suleman to approve.
2026-07-12 07:45 SAST — Updated action: awaiting confirmation of who should receive VB admin access; next step is ITSM ticket by Raja with Suleman as approver.

Moved from Update:
2026-07-13 17:14 SAST — Francois confirmed next step: Raja to log a ticket on Lebara ITSM to request approval to add admin-level access to Mohamed Mustafa’s VB account; set Suleman as approver.

2026-07-12 07:45 SAST — Francois asked Muhaiad & Mustafa to confirm who should have VB admin access; once confirmed, Raja to log Lebara ITSM ticket for admin access and set Suleman as approver.

8/7
See email to Suleman

2026-07-31 17:37 SAST — PMO cleanup: retained only the latest operational update in Update."
HDD rolling replacement schedule prepare,Re: AF RTDMS: Progress blockers,161,"August 10, 2026 4:59 PM",Aman,Medium,AF RTDMS,In progress,"8/7 
see email to Aman",
Clarify security justification/details for RAFM VPN access to Jump Server,IQ Asiacell VPN,163,"July 13, 2026 5:02 PM",Nawar / Shwan Aziz,High,IQ Asiacell,In progress,"2026-07-13 17:02 SAST — Asiacell (Rozh) noted jump server access/VPN testing is dependent on obtaining implementation clearance via the ongoing Security by Design (SBD) process; awaiting SBD clearance/approval before proceeding.

","2026-07-13 17:02 SAST — Logged update that VPN/jump server access is dependent on SBD clearance per Rozh; action remains in progress.
"
Confirm dashboard description requirements and whether it’s included in the FSD (Control Template Workshop – Trending Controls),BW Mascom Fw: Control Template Workshop – Trending Controls,164,"July 9, 2026 4:27 PM",Badee Awwad,Medium,BW Mascom,Not started,2026-07-09 16:26 (SAST): Francois asked Badee to confirm awareness of the dashboard description and whether it is part of the FSD.,2026-07-09 16:26 (SAST): Created new PMO action from email request to confirm dashboard description/FSD coverage.
Submit letter requesting preparation of Advanced training in Dubai: #260,,166,"August 3, 2026 5:13 PM",Francois,Medium,AF RTDMS,Not started,"10/9
Discussed with Marjan","Moved from Update on 2026-08-03:
3/8
Letter submitted by Hameed

2026-08-03 17:13 SAST — PMO cleanup: retained only the latest listed update in Update and moved the older entry to Update History."
"Presales Documents: Assure Fintech, Assure Rev and Defend",PMO Product Implementation Methodologies,169,"August 11, 2026 5:18 PM",,,General,In progress,"3/8
Shared with Alaa for review","12/7
See email to team. Marcio to prepare for Defend

2026-08-11 17:18 SAST — PMO cleanup: moved the older comment from Update to Update History and retained only the latest comment in Update."
Security Assessment feedback,Re: High Priority MTN Assure Fintech security assessment: Go Live Blocked,170,"August 19, 2026 8:15 AM",Ibrahim,High,MTN MoMo,In progress,Submitted,"16/7
With Ihab, then share

10/7
See email to Ibrahim

2026-07-31 17:37 SAST — PMO cleanup: moved the two older updates to Update History and retained only the latest update in Update.

Moved from Update on 2026-08-19:
17/7
Ihab to provide feedback by end of day on Monday

2026-08-19 — PMO cleanup: retained latest Update only and moved older Update comment to Update History."
Request decoded ASN.1 samples for BW Mascom feeds (MSC/IMS/SGSN/TAPIN/TAPOUT/NRTRD),BW Mascom Fw: TAPFILE & NRTRDE Sources  Data Validations,173,"August 19, 2026 6:45 PM",Aritra Mitra,Medium,BW Mascom,In progress,"[2026-08-19 18:45 SAST] Masa shared TAPFILE & NRTRDE source validation output (said files are 100% identical) and asked for review; requested the AI document for these sources (remaining sources to follow).

[2026-08-19 18:42 SAST] Masa shared SGSN & IMS source validation output files and asked for review; requested that the AI & FSD documents for the sources be sent.","2026-08-19 18:45 SAST — Updated action: captured Masa’s request to review TAPFILE & NRTRDE validation outputs and to send the AI document; updated Email Subject.

2026-08-19 18:42 SAST — Updated action: captured Masa’s request to review SGSN/IMS validation outputs and to provide AI & FSD documents; updated Email Subject.

2026-08-12 12:24 SAST — Updated action with Masa’s confirmation that the IMS/SGSN encoded+decoded samples are being worked on and will be shared once completed; updated Email Subject to latest forward.

2026-08-08 05:32 SAST — Logged request to Mascom for matching encoded (raw) files for the decoded IMS/SGSN samples and to provide encoded+decoded pairs for remaining sources; set Owner to Aritra; updated Email Subject.
2026-08-03 18:08 SAST — Noted decoded sample files uploaded by Mascom; action to confirm folder access and view files.
2026-08-04 17:43 SAST — Updated: Mascom cannot provide 19/04/2026 decoded samples (retention 3 months); flag need for alternative validation approach/date.
2026-08-05 07:55 SAST — Added latest email update: propose requesting fresh encoded + decoded ASN.1 samples; pending confirmation.

Moved from Update on 2026-08-11:
2026-08-03 18:08 SAST — Decoded samples from Mascom were uploaded to the “DecodedSample Shared by Mascom” folder; confirm access/visibility.
2026-08-04 17:43 SAST — Mascom advised mediation does not have the requested April (19/04/2026) files due to a 3‑month retention window; April samples cannot be provided from that source. Determine an alternative source/date for validation (or proceed with available July samples).
2026-08-05 07:55 SAST — Francois suggests requesting new raw (encoded) ASN.1 samples and corresponding decoded samples for validation; awaiting confirmation from Aritra/Meheden.

2026-08-11 17:18 SAST — PMO cleanup: retained only the latest comment in Update and moved older comments to Update History.

[2026-08-12 09:10 SAST] Email follow-up: Francois requested urgent feedback from Masa on the updated encoded/decoded IMS & SGSN sample files.

Moved from Update on 2026-08-19:
[2026-08-12 09:10 SAST] Francois requested urgent feedback from Masa on whether the updated encoded and decoded IMS/SGSN sample files meet the requirement.

2026-08-05 09:44 SAST — Request sent to Mascom (Rale) to share the corresponding raw (encoded) files for the decoded IMS/SGSN samples provided (matching file names/dates), and to follow the same approach for remaining sources.

2026-08-19 — PMO cleanup: retained latest Update only and moved older Update comments to Update History."
Collection server upgrade / improvement plan (Agent node upgrades + monitoring),AF RTDMS Agent node upgrade plans,181,"August 3, 2026 11:25 AM",Aman,High,AF RTDMS,In progress,2026-07-14 16:27 SAST — Waiting for details on the current collection server configuration (how the database is integrated with the MNOs) so the upgrade/improvement plan (incl. monitoring) can be prepared for submission to ATRA later this week.,2026-07-14 16:27 SAST — Created action from email: request for collection server configuration details to enable upgrade/improvement plan submission to ATRA.
"Dell EMC Storage failure risk mitigation: 
Procure spare drives.",AF RTDMS spare drives,182,"August 10, 2026 4:58 PM",Allison Coco,Medium,AF RTDMS,In progress,2026-07-17 06:44 SAST — Francois requested ordering the recommended spare drives as soon as possible due to failure risk and strict deadlines.,"15/7
See plan from Aman and Francois’s response. Ali to get quote

2026-07-31 17:37 SAST — PMO cleanup: moved the older update to Update History and retained only the latest operational update in Update."
Machine Learning ML Planning,,188,"July 17, 2026 1:23 PM",Francois,Medium,BW Mascom,In progress,17/7 see email to Meghan,
Data gathering and Control Framework,Fw: 'EXTERNAL:'Re: BW Mascom Data Gathering | Summary of Discussion | Questionnaire,192,"August 11, 2026 5:18 PM",Francois du Toit,High,BW Mascom,In progress,2026-08-11 07:37 SAST — Updated BW_Mascom_Questionnaire_V1.2.xlsx uploaded to the Clarifications folder; request Mascom to review and confirm if further questions/clarifications are needed.,"2026-08-11 07:37 SAST — Updated: questionnaires v1.2 uploaded to Clarifications folder; requested Mascom review and feedback/clarifications.
2026-08-06 16:42 SAST — Updated action with latest request: clarify BW Mascom way forward (DG progress metric + sessions + questionnaire link; FSD control logic progress; ETL approach/tracking; Phase 1 controls prioritization concern).
2026-07-31 18:25 SAST — Updated with latest inbound note: Mascom provided link to questionnaire clarifications for review.
2026-07-28 07:43 SAST — Updated with latest request: confirm meeting time for tomorrow; start working on questionnaires (critical path).
2026-07-22 19:17 SAST — Appended latest request: engage Rale with DG input requirements; updated Email Subject for traceability.
2026-07-21 18:05 SAST — Updated action with latest email request for SPOCs and meeting date/time proposals; set Status to In progress; stored latest email subject.

Moved from Update:
2026-07-22 19:17 SAST — Francois asked Aritra to engage Rale with Latro’s data gathering (DG) input requirements.

2026-07-21 18:05 SAST — Requested Mascom to nominate SPOCs/SMEs for data-gathering sessions (Day 1–7 teams) and propose suitable dates/times.

2026-07-31 17:32 SAST — PMO cleanup: retained only the latest operational update in Update.

Moved from Update on 2026-08-03:
2026-07-31 18:25 SAST — Mascom shared a link to questionnaire clarifications for review.
2026-07-28 07:43 SAST — Francois requested BW Mascom confirm a suitable time to meet tomorrow and start working on the DG questionnaires ASAP (critical path).

2026-08-03 16:44 SAST — PMO cleanup: retained only the latest update (“3/8 — Aritra reviewing”) in Update and moved all older entries to Update History.

Moved from Update on 2026-08-11:
2026-08-06 16:42 SAST — Francois requests current status + plan: define DG progress metric; confirm number/duration of DG sessions next week; share questionnaire link; confirm control-logic progress in FSD; clarify ETL approach/tracking; and address Phase 1 controls prioritization (concern Mascom deprioritized).
3/8 — 3 x 1 hour sessions requested for next week to finalize controls.
5/8 — Aritra preparing Control Framework.

2026-08-11 17:18 SAST — PMO cleanup: retained only the latest comment in Update and moved older comments to Update History."
Marketing PPT and documents approval,,193,"July 21, 2026 8:32 AM",Francois,Medium,BW Mascom,In progress,"21/7
See email to Rale",
Plan Cisco field replacement,Fw: AF RTDMS Cisco devices swap,194,"July 31, 2026 5:33 PM",Aman,High,AF RTDMS,In progress,"2026-07-22 17:28 SAST — Start Cisco router/switch replacements on Sunday, 26 Jul (assuming devices released by Saturday). Proceed with installation irrespective of training; push back on ATRA request to delay until after training to protect November completion target.","2026-07-22 17:28 SAST — Updated plan: target start replacements Sunday 26 Jul; proceed irrespective of training; need devices released by Saturday; push back on ATRA request to delay.
2026-07-22 07:13 SAST — Captured latest request: proceed with Cisco swap in parallel with training; explore local swap/field resources; training agenda shared (pending ATRA approval).

Moved from Update:
2026-07-22 07:13 SAST — Francois asked to proceed with the Cisco router/switch swap in parallel with training (MS4 depends on swap). Francois proposed finding local resources to assist with swap/field work and shared a draft training agenda (26 Jul–2 Sep) pending ATRA approval.

21/7 see email to Aman

2026-07-31 17:32 SAST — PMO cleanup: retained only the latest operational update in Update."
TOR 13 evidence package – RTDMS file processing scenarios,AF RTDMS TOR 13 evidence,195,"August 10, 2026 5:00 PM",,Medium,AF RTDMS,Not started,"2026-07-21 18:51 SAST: ROR 13 committee requests evidence + demos for RTDMS file-processing scenarios (success, duplicate file, record-level duplicates, partial processing, processing status, corrupt file, failed processing) incl. screenshots, logs, DB evidence, and record-count reconciliation.",2026-07-21 18:51 SAST: Created action from email “AF RTDMS TOR 13 evidence” requesting TOR/ROR 13 evidence pack for RTDMS file-processing scenarios.
